order,species,latin,sex.studied,sex.diff,incl.sex.analysis,justif.excl.sex.analysis,season.studied,season.diff,incl.season.analysis,justif.excl.season.analysis,study,year
Accipitriforme,Black kite,Milvus migrans,1,1,1,,1,1,1,,Potier et al. 2018,2018
Anseriforme,Falkland steamer duck,Tachyeres brachypterus,1,1,1,,0,NA,0,,Livezey et al. 1986,1986
Anseriforme,Mallard,Anas platyrhynchos,1,1,1,,1,1,1,,Jacob et al. 1979,1979
Anseriforme,Mallard,Anas platyrhynchos,0,NA,0,,1,1,1,,Kolattukudy et al. 1985,1985
Anseriforme,Mallard,Anas platyrhynchos,0,NA,0,,1,1,1,,Kolattukudy et al. 1987,1987
Bucerotiforme,Eurasian hoopoe,Upupa epops,1,1,1,,1,1,1,,Martin-Vivaldi et al. 2009,2009
Bucerotiforme,Eurasian hoopoe,Upupa epops,0,NA,0,,0,NA,0,,Martin-Vivaldi et al. 2010,2010
Bucerotiforme,Green woodhoope,Phoeniculus purpureus,1,0,0,,0,NA,0,,Burger et al. 2004,2004
Charadriiforme,American golden-plover,Pluvialis dominica,0,NA,0,,1,1,0,sexes unspecified,Reneerkens et al. 2006,2006
Charadriiforme,Asian dowitcher,Limnodromus semipalmatus,1,0,1,,1,1,1,,Reneerkens et al. 2002,2002
Charadriiforme,Baird's sandpiper,Calidris bairdii,0,NA,0,,1,1,0,sexes unspecified,Reneerkens et al. 2002,2002
Charadriiforme,Bar-tailed godwit,Limosa lapponica,0,NA,0,,1,1,0,sexes unspecified,Reneerkens et al. 2002,2002
Charadriiforme,Black-bellied plover,Pluvialis squatarola,0,NA,0,,1,1,0,sexes unspecified,Reneerkens et al. 2006,2006
Charadriiforme,Black-legged kittiwake,Rissa tridactyla,1,1,1,,1,1,1,,Leclaire et al. 2011,2011
Charadriiforme,Black-tailed godwit,Limosa limosa,1,0,1,,1,1,1,,Reneerkens et al. 2002,2002
Charadriiforme,Buff-breasted sandpiper,Tryngites subruficollis,1,1,1,,1,1,1,,Reneerkens et al. 2007a,2007
Charadriiforme,Common ringed plover,Charadrius hiaticula,0,NA,0,,1,1,0,sexes unspecified,Reneerkens et al. 2006,2006
Charadriiforme,Curlew sandpiper,Calidris ferruginea,1,1,0,data also used in Reneerkens et al. 2002,1,1,0,data also used in Reneerkens et al. 2002,Reneerkens et al. 2007a,2007
Charadriiforme,Curlew sandpiper,Calidris ferruginea,1,1,1,,1,1,1,,Reneerkens et al. 2002,2002
Charadriiforme,Dunlin,Calidris alpina,1,0,1,,1,1,1,,Reneerkens et al. 2002,2002
Charadriiforme,Eurasian oystercatcher,Haematiopus ostralegus,0,NA,0,,1,1,0,sexes unspecified,Reneerkens et al. 2006,2006
Charadriiforme,European golden-plover,Pluvialis apricaria,0,NA,0,,1,1,0,sexes unspecified,Reneerkens et al. 2006,2006
Charadriiforme,Herring gull,Larus argentatus,1,1,1,,1,1,1,,Fischer et al. 2017,2017
Charadriiforme,Herring gull,Larus argentatus,1,0,1,,0,NA,0,,Fischer et al. 2020,2020
Charadriiforme,Hudsonian godwit,Limosa haemastica,0,NA,0,,1,1,0,sexes unspecified,Reneerkens et al. 2002,2002
Charadriiforme,Little stint,Calidris minuta,1,0,1,,1,1,1,,Reneerkens et al. 2002,2002
Charadriiforme,Pacific golden-plover,Pluvialis fulva,0,NA,0,,1,1,0,sexes unspecified,Reneerkens et al. 2006,2006
